Date,SBL,SBL_S,Price
8/21,3017,2203,308.5
8/22,3238,2300,309.5
8/23,3403,2568,310
8/24,3390,2613,315
8/25,3456,2680,302.5
8/28,4036,2764,298.5
8/29,4061,2814,301
8/30,3352,2744,315.5
8/31,3732,2964,308.5
9/1,3832,3121,309.5
9/4,4709,3867,298
9/5,4974,3962,316
9/6,4806,4248,307.5
9/7,4848,4286,307
9/8,4953,4204,304
9/11,5208,4545,295
9/12,5615,5037,277.5
9/13,5599,5010,273.5
9/14,5621,5047,269.5
9/15,5071,4514,271
9/18,5671,4584,273
9/19,5929,4818,265
9/20,5474,4625,262.5
9/21,5544,4699,261
9/22,4980,4673,270
9/25,4791,4493,282.5
9/26,4857,4549,294.5
9/27,5035,4739,297
9/28,5242,4943,296.5
10/2,5703,5258,296.5
10/3,5703,5388,292.5
10/4,5905,5586,283
10/5,6017,5521,277.5
10/6,5960,5481,278
10/11,6192,5649,291
10/12,6192,5712,320
10/13,7468,6547,288
10/16,7549,6269,259.5
10/17,7854,6609,255.5
10/18,9027,7525,243
10/19,9295,8438,231
10/20,9619,8938,223
10/23,9462,8831,224
10/24,9600,8885,226
10/25,10593,8782,230
10/26,10831,8793,225.5
10/27,10853,8919,221
10/30,11053,8938,217.5
10/31,11053,8938,209
11/1,10383,8826,211.5
11/2,10387,8938,213.5
11/3,10111,8660,212.5
11/6,10467,8721,221
11/7,9501,8289,218
11/8,9659,8449,220.5
11/9,9883,8763,216
11/10,9939,8850,212.5
11/13,9771,8676,211.5
11/14,9936,8871,221
11/15,9993,8902,231
11/16,9901,8938,239.5
11/17,10364,8937,253.5
11/20,10254,8912,247
11/21,10304,8938,243
11/22,10464,8938,251.5
11/23,9808,8938,245
11/24,9663,8873,254.5
11/27,9882,8930,253.5
11/28,9881,8938,256.5
11/29,9853,8908,251
11/30,9692,8931,247
12/1,9719,8938,247
12/4,9878,8938,254
12/5,9798,8914,253
12/6,9923,8933,256.5
12/7,10162,8932,263
12/8,10267,8938,248
12/11,10508,8938,234
12/12,9986,8913,229
12/13,9895,8938,227.5
12/14,9968,8938,222.5
12/15,9897,8938,222.5
12/18,9886,8888,219.5
12/19,9635,8842,218
12/20,9659,8827,215.5
12/21,9164,8461,218.5
12/22,9120,8720,223
12/25,9416,8934,222
12/26,9531,8915,228
12/27,9640,8932,224
12/28,9367,8893,221
12/29,9426,8915,223
1/2,9426,8934,219.5
1/3,9437,8938,221
1/4,9379,8920,216
1/5,9566,8938,216.5
1/8,9607,8938,216
1/9,9864,8938,212.5
1/10,10202,8938,210
1/11,9999,8867,219
1/12,9953,8930,214.5
1/15,9832,8938,217
1/16,9816,8938,217.5
1/17,10176,8938,211.5
1/18,10219,8929,209
1/19,10212,8933,210
1/22,10261,8938,229
1/23,10263,8938,230.5
1/24,10338,8926,225.5
1/25,10311,8930,221
1/26,10484,8938,224
1/29,10545,8938,232.5
1/30,10549,8919,232
1/31,10148,8915,227
2/1,9677,8890,238.5
2/2,9708,8938,261.5
2/5,9731,8727,273
2/15,9985,8938,275.5
2/16,9764,8925,287
2/19,9451,8921,279.5
2/20,9684,8938,274
2/21,9518,8921,270.5
2/22,9638,8921,277
2/23,9575,8886,270
2/26,9357,8896,264.5
2/27,9348,8918,261.5
2/29,9351,8938,277.5
3/1,9349,8933,292.5
3/4,9482,8914,296
3/5,9632,8924,300
3/6,9550,8898,308
3/7,9564,8927,302
3/8,9609,8919,288.5
3/11,9492,8833,313.5
3/12,9544,8834,315
3/13,9439,8737,305
3/14,9494,8917,298.5
3/15,9626,8938,297.5
3/18,9528,8842,327
3/19,9529,8927,318.5
3/20,9336,8760,320.5
3/21,9223,8650,352.5
3/22,9384,8716,387.5
3/25,8999,8606,390.5
3/26,8946,8378,370
3/27,8709,8113,383
3/28,8691,7966,379
3/29,8685,7864,366
4/1,8594,7872,363
4/2,8502,7828,362
